PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Assad(W, 2-2)",5.0,5,0,0,2,3,0,3.62
"Rucker(H, 5)",1.0,0,0,0,0,1,0,4.10
"Thompson, K(S, 1)",3.0,1,0,0,2,3,0,3.69
,9.0,6,0,0,4,7,0,
