BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,0,0,0,1,1,1,.239,.697
SeagerSS,3,1,0,0,1,0,2,.246,.795
HeimDH,3,0,0,0,1,2,1,.262,.784
1-CulbersonPR-DH,0,1,0,0,0,0,0,.253,.573
"García, AdRF",4,1,2,2,0,0,1,.251,.769
"Lowe, N1B",4,0,1,1,0,2,1,.272,.763
TaverasCF,3,1,2,0,1,0,0,.346,.921
CalhounLF,2,0,0,0,0,0,1,.219,.662
a-SolakPH-LF,1,0,0,0,0,0,2,.200,.582
"Smith, Josh3B",2,0,1,0,0,0,0,.214,.592
"b-Duran, EPH-3B",2,0,1,1,0,0,2,.272,.726
ViloriaC,4,0,0,0,0,2,1,.150,.470
,31,4,7,4,4,7,12,,
