PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Dunning,5.0,4,2,2,3,5,1,4.38
Moore,2.0,2,1,1,0,2,1,1.74
Bush,1.0,0,0,0,1,1,0,3.12
"Martin, B(L, 0-6)(BS, 2)",0.2,2,2,2,2,0,0,3.86
,8.2,8,5,5,6,8,2,
