PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Kirby,5.0,2,0,0,1,4,0,3.50
"Festa(H, 4)",1.1,1,1,1,0,2,0,3.58
"Borucki(H, 6)",0.1,1,0,0,1,0,0,4.43
"Murfee(H, 4)",0.1,0,0,0,0,0,0,2.41
"Sewald(BS, 3)",1.0,1,2,2,2,1,0,2.79
"Swanson, E(W, 1-0)",1.0,2,1,1,0,0,0,1.26
,9.0,7,4,4,4,7,0,
