BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RengifoSS-2B,5,1,2,0,0,2,1,.276,.754
TroutDH,4,1,1,2,1,1,2,.273,.969
WardRF,4,0,1,1,0,1,2,.272,.802
Duffy3B,2,0,0,0,2,0,0,.254,.630
Ford1B,4,0,1,0,0,1,4,.208,.624
1-MoniakPR-LF,0,0,0,0,0,0,0,.176,.541
AdellLF,4,0,1,0,0,2,1,.223,.628
Thaiss1B,0,0,0,0,0,0,0,.213,.636
SuzukiC,3,0,0,0,0,0,1,.175,.550
Stefanic2B,3,0,1,0,0,1,1,.185,.483
"Soto, LSS",1,0,0,0,0,1,0,.200,.600
SierraCF,3,1,0,0,0,1,2,.165,.442
a-OhtaniPH,1,0,1,0,0,0,0,.271,.895
,34,3,8,3,3,10,14,,
