PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Berríos(W, 6-4)",5.0,8,2,2,2,3,0,5.72
"Thornton(H, 3)",1.0,0,0,0,0,1,0,3.71
Romo,1.0,0,0,0,1,2,0,7.63
"Castillo, M",2.0,1,0,0,0,1,0,2.57
,9.0,9,2,2,3,7,0,
