Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
FCL Astros,Rookie,Bases Empty,,,,1,,,1.1,6,1,,,0,0,3,0.75
Sugar Land Skeeters,Triple-A,Bases Empty,,,,2,,,7.2,28,5,,,2,0,10,0.65
Corpus Christi Hooks,Double-A,Bases Empty,,,,1,,,2.0,8,2,,,0,0,3,1.00
Corpus Christi Hooks,Double-A,Bases Loaded,,,,1,,,0.2,1,0,,,0,0,0,0.00
FCL Astros,Rookie,Runner at 1st,,,,1,,,0.2,2,0,,,0,0,0,0.00
Sugar Land Skeeters,Triple-A,Runner at 1st,,,,2,,,0.2,2,0,,,0,0,1,0.00
Corpus Christi Hooks,Double-A,Runner at 1st,,,,1,,,0.2,3,0,,,0,1,0,1.50
Corpus Christi Hooks,Double-A,Runners at 1st & 2nd,,,,1,,,0.0,1,0,,,0,1,0,-.--
Corpus Christi Hooks,Double-A,Runners at 1st & 3rd,,,,1,,,0.1,0,0,,,0,0,0,0.00
FCL Astros,Rookie,Runner at 2nd,,,,1,,,1.0,3,0,,,0,0,3,0.00
Sugar Land Skeeters,Triple-A,Runner at 2nd,,,,1,,,0.2,2,0,,,0,0,0,0.00
FCL Astros,Rookie,Scoring Position,,,,1,,,1.0,3,0,,,0,0,3,0.00
Sugar Land Skeeters,Triple-A,Scoring Position,,,,1,,,0.2,2,0,,,0,0,0,0.00
Corpus Christi Hooks,Double-A,Scoring Position,,,,1,,,1.0,2,0,,,0,1,0,1.00
