BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonDH,5,0,0,0,0,4,5,.208,.817
CorreaSS,3,0,1,0,2,0,3,.280,.807
Polanco2B,4,1,0,0,1,0,3,.243,.774
GarlickRF,3,0,1,0,0,1,2,.271,.824
c-KeplerPH-RF,2,1,2,0,0,0,0,.247,.754
Miranda1B-3B,5,1,3,3,0,1,2,.260,.762
Urshela3B,2,0,0,0,0,0,2,.261,.713
a-ArraezPH-1B,1,0,0,0,1,1,2,.346,.869
JeffersC,3,1,1,0,1,0,5,.213,.670
KirilloffLF,2,0,1,0,1,0,0,.269,.726
CelestinoCF,2,0,1,1,0,1,2,.274,.669
b-GordonPH-CF,2,0,0,0,0,1,1,.275,.736
,34,4,10,4,6,9,27,,
