PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
Crowe,2.0,1,1,1,1,3,1,2.74
"Keller, M(W, 1-5)",2.2,3,1,1,2,4,0,6.37
"Underwood Jr.(H, 1)",2.1,0,0,0,1,2,0,6.23
"Bednar(S, 8)",2.0,1,0,0,0,2,0,0.90
,9.0,5,2,2,4,11,1,
