BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hayes3B,5,1,1,0,0,2,1,.289,.755
"Reynolds, BCF",3,1,2,0,1,0,0,.214,.662
Chavis2B,4,0,3,1,0,1,1,.286,.779
VogelbachDH,4,0,1,1,0,1,4,.252,.810
"Castro, RSS",3,0,0,0,1,1,4,.190,.451
"Castillo, DRF",3,0,1,0,0,1,0,.233,.585
a-GamelPH-LF,1,0,0,0,0,1,1,.270,.761
Tsutsugo1B,4,0,0,0,0,1,1,.167,.489
HeinemanC,4,0,0,0,0,1,2,.211,.527
SuwinskiLF-RF,4,1,1,1,0,2,1,.188,.605
,35,3,9,3,2,11,15,,
