PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(L, 1-5)",4.1,6,3,3,1,5,1,3.97
Effross,0.2,1,0,0,0,1,0,1.15
Martin,1.0,1,0,0,0,1,0,2.84
Givens,1.0,0,0,0,0,1,0,3.14
Wick,1.0,1,0,0,1,1,0,1.23
Robertson,1.0,0,0,0,0,2,0,1.38
,9.0,9,3,3,2,11,1,
