BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,5,1,2,1,0,2,3,.308,1.015
BichetteSS,5,0,0,0,0,3,3,.308,.846
Guerrero1B,3,1,1,1,1,1,1,.455,1.227
"Hernández, TRF",4,1,1,0,0,3,1,.250,1.125
Gurriel Jr.LF,4,1,1,0,0,2,1,.167,.417
"Chapman, M3B",4,1,2,3,0,1,0,.200,.833
"Tapia, RCF",4,0,1,0,0,0,1,.143,.286
Espinal2B,3,0,0,0,0,2,0,.250,.750
a-BiggioPH,0,0,0,0,0,0,0,.000,.250
"Jansen, DC",4,1,2,1,0,0,2,.571,2.196
,36,6,10,6,1,14,12,,
