PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Ryu,3.1,5,6,6,2,4,1,16.20
"Merryweather(L, 0-1)",0.2,2,1,1,0,2,0,5.40
Stripling,1.0,1,2,2,3,0,0,9.00
Phelps,1.1,0,1,1,1,2,0,6.75
Saucedo,0.2,3,2,2,0,0,2,15.43
Thornton,2.0,0,0,0,1,2,0,2.25
,9.0,11,12,12,7,10,3,
