PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Howard,3.0,6,6,6,0,5,4,18.00
"Burke(W, 1-0)",2.0,1,0,0,1,5,0,0.00
"Santana, D(H, 1)",1.0,1,0,0,0,0,0,3.86
King,1.0,1,0,0,0,1,0,10.80
Sborz,1.0,0,0,0,0,1,0,13.50
"Barlow, J",1.0,1,0,0,0,2,0,0.00
,9.0,10,6,6,1,14,4,
