BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,3,2,1,1,1,0,1,.382,1.070
"Rosario, ADH",5,0,1,0,0,2,3,.240,.549
"Ramírez, Jo3B",5,0,2,0,0,1,4,.426,1.302
"Reyes, FRF",3,1,2,2,0,1,2,.191,.479
StrawCF,2,1,1,0,0,0,2,.326,.849
"Naylor, J1B",4,1,2,2,0,0,2,.429,.967
Clement2B,4,0,1,0,0,0,3,.269,.713
GimenezSS,2,1,1,1,1,0,1,.318,.878
MercadoCF-RF,4,0,1,0,0,0,3,.233,.768
HedgesC,3,0,1,0,0,0,2,.103,.291
,35,6,13,6,2,4,23,,
