BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",4,0,0,0,0,3,0,.220,.719
"Reynolds, BCF",4,0,2,0,0,1,0,.259,.790
"Castro, R2B",4,0,0,0,0,1,2,.233,.730
GamelDH,3,0,0,0,0,3,2,.235,.690
"a-Castillo, DPH",1,0,0,0,0,1,0,.201,.627
Hayes3B,4,0,0,0,0,1,0,.248,.672
MitchellRF,2,1,0,0,2,0,0,.231,.655
Chavis1B,3,0,2,1,0,1,0,.240,.684
SuwinskiLF,3,0,0,0,0,3,3,.199,.683
DelayC,3,0,0,0,0,2,3,.216,.533
,31,1,4,1,2,16,10,,
