PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Gibson,5.0,7,5,5,2,9,1,4.84
"Nelson, N(H, 3)",1.0,0,0,0,0,1,0,4.61
"Alvarado(H, 20)",1.0,0,0,0,0,3,0,3.33
"Robertson(BS, 8)",1.0,1,1,1,2,2,0,2.48
Domínguez,1.0,0,0,0,1,1,0,2.76
Eflin,1.0,0,0,0,0,1,0,4.03
"Bellatti(L, 4-4)",1.0,3,2,1,0,0,0,3.27
,11.0,11,8,7,5,17,1,
