BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,1,1,1,0,1,0,.246,.762
"Freeman, F1B",3,0,0,0,1,2,0,.303,.880
TurnerSS,4,0,1,0,0,1,1,.272,.712
"Smith, W.D.DH",3,1,1,0,1,0,1,.263,.766
"Turner, J3B",4,1,1,0,0,1,3,.212,.609
"Taylor, ChLF",2,0,0,0,2,0,0,.257,.742
BellingerCF,4,0,1,2,0,1,1,.200,.670
Alberto2B,3,0,0,0,0,1,2,.226,.540
a-MuncyPH,1,0,0,0,0,1,1,.146,.631
"Barnes, AC",3,0,0,0,0,1,2,.263,.886
b-RiosPH,1,0,0,0,0,1,1,.270,.830
,32,3,5,3,4,10,12,,
