PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J(L, 2-3)",6.0,8,8,5,0,3,4,3.00
Moronta,2.0,2,0,0,0,1,0,2.25
Cleavinger,1.0,0,0,0,0,2,0,3.38
,9.0,10,8,5,0,6,4,
