BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MitchellDH,4,0,0,0,1,1,0,.200,.539
"Reynolds, BCF",5,1,1,1,0,1,2,.212,.693
Hayes3B,5,0,3,0,0,1,1,.294,.765
VanMeter1B-2B,3,1,1,0,1,1,2,.215,.650
SuwinskiRF,4,1,1,0,0,0,3,.183,.624
"Castro, RSS",4,0,1,0,0,2,5,.175,.512
MarcanoLF,4,1,1,3,0,1,0,.357,1.043
"Castillo, D2B",3,1,0,0,1,2,0,.230,.603
HeinemanC,0,0,0,0,0,0,0,.156,.425
"Perez, MC",4,0,1,1,0,2,0,.114,.438
1-ChavisPR-1B,0,1,0,0,0,0,0,.286,.793
,36,6,9,5,3,11,13,,
