PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(W, 2-1)",5.2,7,1,1,3,3,0,1.53
"Pallante(H, 1)",1.1,0,0,0,1,0,0,1.38
Wittgren,1.0,1,0,0,0,0,0,1.93
Whitley,1.0,2,0,0,0,2,0,1.04
,9.0,10,1,1,4,5,0,
