BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,0,0,0,2,1,.263,.770
LindorSS,4,0,0,0,0,1,0,.264,.783
Alonso1B,3,0,1,0,1,0,0,.273,.866
VogelbachDH,2,0,0,0,1,1,1,.234,.794
1-EscobarPR-DH,1,0,0,0,0,1,1,.214,.646
McNeil2B,4,0,1,0,0,0,2,.321,.833
CanhaLF,3,0,0,0,0,0,2,.278,.795
NaquinRF,3,0,0,0,0,2,1,.242,.752
Baty3B,3,0,1,0,0,0,1,.184,.586
McCannC,2,0,0,0,0,0,0,.190,.515
"a-Marte, SPH",1,0,0,0,0,1,1,.291,.809
NidoC,0,0,0,0,0,0,0,.221,.527
,30,0,3,0,2,8,10,,
