BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
CarlsonCF,4,0,0,0,0,1,0,.241,.707
Gorman2B,3,0,1,0,0,0,0,.238,.763
b-EdmanPH-2B,1,0,0,0,0,0,0,.256,.688
Goldschmidt1B,2,1,2,0,1,0,0,.333,1.032
Arenado3B,3,0,1,1,0,1,1,.296,.906
O'NeillLF,3,0,0,0,0,1,1,.231,.658
NootbaarRF,3,0,1,0,0,0,0,.226,.704
DeJongSS,3,0,0,0,0,0,1,.141,.513
MolinaC,3,0,0,0,0,1,1,.207,.502
DickersonDH,2,0,0,0,0,1,0,.220,.616
a-PujolsPH,0,0,0,0,1,0,0,.228,.711
1-DonovanPR-DH,0,0,0,0,0,0,0,.285,.774
,27,1,5,1,2,5,4,,
