PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",5.0,4,2,2,2,3,1,3.38
Lugo,1.0,0,0,0,1,2,0,3.31
"Rodríguez, J(L, 0-3)",0.1,3,2,2,0,0,0,5.11
Ottavino,1.2,1,0,0,1,3,0,2.17
,8.0,8,4,4,4,8,1,
