BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,5,0,1,0,0,1,3,.264,.764
"Marte, SRF",4,0,2,1,1,1,1,.295,.812
LindorSS,3,0,0,0,2,1,3,.272,.800
Alonso1B,4,1,2,0,0,1,2,.270,.862
VogelbachDH,4,0,0,0,0,2,5,.238,.805
McNeil2B,4,0,2,0,0,0,1,.321,.838
CanhaLF,3,1,1,0,0,0,1,.274,.782
Baty3B,3,0,1,0,0,0,2,.148,.492
NidoC,1,0,0,0,0,0,2,.223,.535
a-NaquinPH,0,0,0,0,1,0,0,.243,.763
,31,2,9,1,4,6,20,,
