PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(W, 6-3)",8.0,5,1,1,0,7,1,3.35
"Rogers(S, 19)",1.0,0,0,0,0,2,0,2.77
,9.0,5,1,1,0,9,1,
