PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Steele,7.0,6,1,1,0,3,0,4.33
"Wick(L, 1-2)",0.1,3,3,3,1,0,0,4.26
Effross,0.2,1,0,0,0,0,0,2.67
Hughes,1.0,0,0,0,0,2,0,2.77
,9.0,10,4,4,1,5,0,
