PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Wheeler,6.0,4,3,1,3,7,0,3.16
Hand,0.2,1,0,0,0,0,0,1.38
Familia,0.1,0,0,0,0,0,0,4.24
"Domínguez(H, 7)",1.0,0,0,0,0,1,0,2.00
"Knebel(L, 1-4)(BS, 3)",1.1,2,2,1,1,2,1,3.15
,9.1,7,5,2,4,10,1,
