PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Bassitt,6.0,2,1,1,3,7,0,3.66
"Smith, Dr(H, 12)",0.2,1,0,0,0,1,0,2.57
"Rodríguez, J(H, 7)",1.0,0,2,2,2,0,0,4.60
"Ottavino(BS, 2)",0.1,2,1,1,0,0,1,4.08
Nogosek,1.0,0,0,0,0,0,0,0.00
"Díaz(W, 2-1)",1.0,0,0,0,1,1,0,2.61
,10.0,5,4,4,6,9,1,
