PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D",4.1,4,2,2,2,1,1,4.10
Naughton,0.2,3,2,2,0,2,0,4.13
"Hicks, J(H, 2)",1.0,0,1,1,0,1,0,4.95
"Cabrera, G(L, 3-2)(BS, 1)",1.0,1,2,2,1,1,1,2.95
Oviedo,1.0,0,0,0,0,1,0,3.20
,8.0,8,7,7,3,6,2,
