PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Gray, S",6.0,6,2,1,1,7,1,3.01
"Jax(W, 6-3)",1.0,0,0,0,0,0,0,3.39
"López, Jo(H, 1)",0.2,1,1,1,2,1,0,2.04
"Thielbar(H, 16)",0.2,1,0,0,0,1,0,3.71
"Fulmer(S, 3)",0.2,1,0,0,1,1,0,3.25
,9.0,9,3,2,4,10,1,
