PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Hearn,3.0,5,5,5,4,4,2,7.59
"Abreu, A",2.0,0,0,0,1,3,0,1.80
"Martin, B(H, 1)",1.0,1,0,0,1,1,0,3.18
"Patton, S(H, 1)",0.2,1,0,0,1,0,0,3.86
"Bush(BS, 1)",1.0,1,1,1,2,2,0,3.60
"Barlow, J(W, 1-0)",1.1,0,0,0,1,2,0,4.15
,9.0,8,6,6,10,12,2,
