PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Anderson, I(W, 1-1)",5.2,2,1,1,1,7,1,6.48
McHugh,1.0,1,0,0,0,2,0,2.08
"Smith, W.M.",1.1,1,1,1,0,1,1,4.15
"Jansen(S, 2)",1.0,0,0,0,0,1,0,6.75
,9.0,4,2,2,1,11,2,
