BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,1,0,0,0,1,.298,.764
"Rosario, ASS",4,0,2,0,0,1,0,.285,.727
"Ramírez, Jo3B",3,0,0,1,1,1,3,.284,.901
"Gonzalez, ORF",4,0,1,0,0,2,1,.303,.807
"Naylor, JDH",4,0,0,0,0,1,1,.266,.782
Gimenez2B,4,0,0,0,0,0,0,.306,.867
"Miller, O1B",3,0,0,0,0,1,0,.239,.650
HedgesC,2,0,1,0,0,0,0,.174,.523
a-PalaciosPH,1,0,1,0,0,0,0,.250,.616
MaileC,0,0,0,0,0,0,0,.242,.693
BensonCF,3,0,0,0,0,1,2,.103,.291
,32,1,6,1,1,7,8,,
