BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B,4,2,2,0,1,0,0,.249,.637
"Rodríguez, JCF",5,0,0,0,0,1,4,.266,.797
WinkerDH,3,2,1,2,2,2,1,.228,.716
HanigerRF,5,2,2,1,0,1,2,.286,.813
"Suárez, E3B",5,1,1,2,0,2,3,.223,.745
"Crawford, JSS",2,1,1,1,3,0,0,.260,.699
Santana1B,5,0,1,2,0,0,3,.197,.674
RaleighC,4,2,2,3,0,0,2,.208,.747
HaggertyLF,4,1,0,0,0,1,4,.310,.854
,37,11,10,11,6,7,19,,
