PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Houck,3.1,6,3,3,3,3,0,8.10
Brasier,0.2,1,0,0,0,0,0,0.00
"Crawford, K(W, 1-1)",2.0,4,0,0,0,3,0,0.00
"Strahm(H, 1)",1.0,0,0,0,0,0,0,0.00
"Robles(H, 1)",1.0,0,0,0,1,0,0,0.00
"Diekman(S, 1)",1.0,0,0,0,0,3,0,0.00
,9.0,11,3,3,4,9,0,
