PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Montgomery,3.1,4,3,3,1,4,0,8.10
"Schmidt(L, 0-1)",2.2,1,1,1,0,1,1,3.38
Luetge,1.0,0,0,0,0,1,0,0.00
Loáisiga,1.0,0,0,0,2,0,0,0.00
"Peralta, Wa",1.0,0,0,0,1,2,0,0.00
,9.0,5,4,4,4,8,1,
