PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Ureña,6.0,5,1,1,0,4,1,5.01
"Bird(W, 2-4)",2.0,0,0,0,0,2,0,4.91
"Lawrence(S, 1)",1.0,1,0,0,0,0,0,5.70
,9.0,6,1,1,0,6,1,
