BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",3,0,1,0,0,0,0,.302,.783
MendickSS,0,1,0,0,1,0,0,.200,.733
VaughnRF-LF,4,0,1,0,0,2,2,.306,.986
"Abreu, J1B",4,1,1,2,0,1,1,.208,.679
GrandalDH,3,0,1,0,1,0,0,.128,.417
"Jiménez, ELF",1,0,0,0,0,0,0,.222,.589
SheetsRF,3,0,1,0,0,2,2,.265,.668
EngelCF,4,0,0,0,0,3,2,.208,.571
"Garcia, Le2B",4,0,1,0,0,1,2,.108,.289
McGuireC,4,0,1,0,0,1,1,.217,.541
Burger3B,4,0,0,0,0,1,2,.200,.536
,34,2,7,2,2,11,12,,
