PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Velasquez(L, 0-2)",3.1,8,5,5,1,6,2,6.75
Sousa,0.1,2,2,2,2,0,0,5.68
Crick,1.1,1,1,1,1,1,0,5.06
"Severino, A",2.0,3,1,1,0,3,0,7.50
Hendriks,1.0,0,0,0,0,1,0,4.50
,8.0,14,9,9,4,11,2,
