BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NootbaarRF,4,0,0,0,0,0,2,.234,.805
O'NeillCF,4,0,1,0,0,0,1,.229,.694
GoldschmidtDH,3,0,0,0,1,0,0,.328,1.029
Arenado3B,3,0,0,0,1,1,0,.301,.923
Pujols1B,4,0,0,0,0,1,3,.267,.860
DickersonLF,3,0,0,0,0,0,3,.288,.753
Gorman2B,3,0,0,0,0,2,0,.232,.725
MolinaC,3,0,1,0,0,0,0,.214,.509
EdmanSS,3,0,1,0,0,0,1,.263,.731
,30,0,3,0,2,4,10,,
