PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Sánchez, An(W, 2-5)",5.0,2,0,0,2,3,0,4.56
"Harvey, H",1.0,0,0,0,0,0,0,2.67
"Thompson, M(S, 1)",3.0,1,0,0,0,1,0,0.75
,9.0,3,0,0,2,4,0,
