BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LCF",3,1,1,2,2,0,1,.246,.724
"García, L2B",6,0,1,1,0,3,5,.295,.744
Meneses1B,5,0,3,1,0,1,1,.339,.939
VoitDH,4,0,0,1,0,1,4,.223,.719
"Ruiz, KC",3,1,2,1,2,0,2,.253,.679
HernándezLF,4,0,2,0,1,0,4,.248,.628
"Vargas, I3B",4,1,0,0,0,0,3,.273,.759
PalaciosRF,5,1,1,0,0,1,3,.212,.454
AbramsSS,5,2,4,0,0,0,2,.229,.577
,39,6,14,6,5,6,25,,
