PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Swarmer(L, 1-1)",5.0,7,6,6,0,4,6,4.24
Rucker,3.0,4,2,2,1,3,0,5.49
,8.0,11,8,8,1,7,6,
