BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BrinsonCF,2,1,0,0,2,1,1,.192,.827
Flores2B,4,1,1,2,0,1,1,.235,.733
"Davis, JDH",4,1,1,0,0,1,0,.237,.718
Longoria3B,4,0,2,0,0,2,1,.249,.782
Villar1B,4,0,0,0,0,2,3,.219,.777
EstradaSS,4,1,2,2,0,0,1,.259,.723
BartC,4,0,0,0,0,1,1,.228,.713
DeanLF,4,0,2,0,0,0,0,.375,.819
"Gonzalez, LRF",4,0,0,0,0,1,2,.247,.675
,34,4,8,4,2,9,10,,
