PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Miley,5.0,4,1,1,1,5,0,2.89
"Wesneski(L, 1-1)",3.2,4,3,3,1,3,2,3.12
Wick,0.1,0,0,0,0,1,0,4.42
,9.0,8,4,4,2,9,2,
