BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,0,0,0,1,2,1,.289,.885
PeñaSS,4,1,1,1,0,1,1,.249,.692
"Alvarez, YLF",4,3,4,3,0,0,0,.304,1.032
Bregman3B,3,0,0,0,0,0,1,.265,.841
TuckerRF,3,0,0,0,1,1,1,.262,.820
Gurriel1B,4,1,1,0,0,1,2,.243,.658
ManciniDH,3,0,0,0,1,2,1,.251,.742
DubónCF,4,0,1,0,0,0,2,.217,.583
MaldonadoC,4,0,1,1,0,1,3,.173,.567
,32,5,8,5,3,8,12,,
