Season,Team,Pos,PA,Depth (ft.),Angle
2018,WSH,7,4174,298,-27
2019,WSH,7,5597,300,-26
2020,WSH,9,199,299,28
2020,WSH,7,1306,300,-27
2021,WSH,9,5341,293,28
2022,WSH,9,3782,293,28
2022,SD,9,1855,295,28
