Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,L,484,27,5.6,.397,.311
2019,L,655,107,16.3,.390,.416
2020,L,184,54,29.3,.506,.409
2021,L,631,288,45.6,.446,.390
2022,L,657,389,59.2,.393,.363
