BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WinkerLF,5,0,3,1,1,0,2,.220,.623
France1B,5,0,0,0,0,1,6,.347,.917
"Rodríguez, JCF",5,1,2,0,0,0,5,.272,.746
"Crawford, JSS",4,1,1,0,1,1,1,.297,.836
"Suárez, EDH",5,2,1,1,0,2,2,.220,.735
Frazier2B,4,0,0,1,0,1,1,.249,.655
Toro3B,4,1,1,1,1,1,1,.186,.626
TrammellRF,1,1,1,0,1,0,0,.364,1.171
"a-Moore, DPH-RF",0,0,0,0,1,0,0,.160,.683
b-FordPH,1,0,0,0,0,0,0,.188,.585
HaggertyRF,0,0,0,0,0,0,0,.000,.286
TorrensC,5,1,3,2,0,2,2,.222,.524
,39,7,12,6,5,8,20,,
