PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Flexen,5.0,6,3,3,1,3,0,4.55
"Festa(H, 3)",0.1,1,3,3,0,0,0,5.51
"Sewald(BS, 2)",1.2,1,0,0,1,1,0,2.45
"Muñoz, A",1.0,0,0,0,0,1,0,4.96
"Castillo. D(W, 2-0)",2.0,0,0,0,0,3,0,6.50
,10.0,8,6,6,2,8,0,
