BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,2,1,0,1,0,.292,.752
"Rosario, ASS",4,0,2,1,0,1,1,.277,.706
"Ramírez, JoDH",2,0,0,0,2,0,0,.280,.878
"Gonzalez, ORF",3,1,0,0,0,1,4,.288,.783
"Miller, O1B",4,0,2,0,0,0,2,.244,.648
Gimenez2B,3,1,0,0,1,0,4,.297,.843
"Freeman, T3B",4,1,1,1,0,0,2,.245,.600
HedgesC,4,1,1,2,0,2,2,.187,.549
StrawCF,4,0,0,0,0,0,3,.204,.526
,32,5,8,5,3,5,18,,
