PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Quantrill(W, 9-5)",7.0,1,0,0,0,7,0,3.67
Morgan,1.0,1,0,0,0,1,0,3.97
Sandlin,1.0,1,0,0,0,0,0,2.43
,9.0,3,0,0,0,8,0,
