BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Fletcher2B-SS,4,0,0,0,0,1,0,.272,.684
TroutCF,4,0,0,0,0,0,0,.271,.960
OhtaniDH,4,1,2,0,0,2,0,.269,.885
Rengifo3B-2B,4,0,1,0,0,1,1,.268,.730
WardRF,4,0,1,1,0,1,1,.259,.788
Ford1B,3,2,2,1,0,0,1,.226,.690
b-DuffyPH,1,0,0,0,0,0,1,.257,.590
StassiC,3,1,1,2,0,1,1,.191,.595
SierraLF,3,0,0,0,0,2,0,.184,.501
"Velazquez, ASS",2,0,0,0,0,1,0,.195,.535
a-ThaissPH-3B,1,0,0,0,0,1,0,.250,.500
,33,4,7,4,0,10,5,,
