BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B,4,1,1,0,0,0,1,.244,.647
France1B,3,0,1,0,0,0,1,.365,1.050
WinkerLF,2,0,0,0,2,1,1,.159,.523
"Suárez, EDH",4,0,1,1,0,2,5,.254,.858
"Crawford, JSS",4,0,1,0,0,3,1,.343,1.011
Toro3B,4,0,0,0,0,0,1,.158,.559
"Rodríguez, JCF",3,0,1,0,0,1,1,.194,.524
KelenicRF,3,0,0,0,0,1,2,.140,.504
"a-Murphy, ToPH",1,0,0,0,0,1,1,.417,1.158
TorrensC,3,0,1,0,0,1,0,.235,.513
,31,1,6,1,2,10,14,,
