PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",7.0,3,0,0,1,7,0,2.63
"Smith, Dr",1.0,0,0,0,0,1,0,2.97
Díaz,1.0,0,0,0,0,2,0,1.78
"Hunter(L, 0-1)",1.0,3,2,1,0,2,0,2.25
,10.0,6,2,1,1,12,0,
