PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(W, 7-6)",6.0,5,1,1,2,6,1,3.79
"Smith, Dr",2.0,2,1,1,0,5,1,3.05
Hunter,1.0,1,1,1,0,2,1,3.00
,9.0,8,3,3,2,13,3,
