PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(W, 8-4)",5.1,10,4,4,1,4,1,3.18
"Chavez(H, 2)",1.2,0,0,0,1,3,0,3.00
"Smith, W.M.(H, 8)",1.0,3,1,1,0,1,0,3.58
"Jansen(S, 19)",1.0,1,1,1,0,1,1,3.23
,9.0,14,6,6,2,9,2,
