 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,11,20,55,3,0.5,0.2,0,0.8,33.6
2021,15,23,65.2,2,0.9,1.7,0.4,3.1,35.5
