 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,157,640,-8,-9,5,5,-7
2020,,70,304,-6,-4,3,1,-6
2021,,549,"2,316",-16,-12,20,9,1
2022,,508,"2,033",-5,-13,16,9,8
