Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,L,157,65,41.4,.243,.330
2020,L,70,36,51.4,.290,.132
2021,L,549,189,34.4,.317,.347
2022,L,508,129,25.4,.338,.292
