Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,1,,1,0,0,2,1,0,-1,0,83,85,2
2020,0,,0,0,0,0,0,0,0,0,99,100,1
2021,0,,0,1,-1,0,0,-1,0,0,87,86,-1
