Season,Team,Pos,PA,Depth (ft.),Angle
2019,ARI,9,223,294,27
2019,ARI,7,1152,302,-26
2019,ARI,4,13,155,15
2020,ARI,4,282,152,9
2020,ARI,6,84,145,-3
2020,ARI,7,33,306,-28
2021,ARI,9,1074,296,27
2021,ARI,7,406,298,-27
2021,ARI,6,1271,148,-15
2021,ARI,4,1567,152,10
2021,ARI,5,283,120,-30
2022,AZ,5,3123,122,-32
2022,AZ,4,962,152,10
