Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
,Fayetteville Woodpeckers,CAR,A+,LF,3,3,27.0,3,3,0,0,0,,1.000
,Fayetteville Woodpeckers,CAR,A+,DH,2,2,0.0,0,0,0,0,0,,.000
,Quad Cities River Bandits,MID,A,2B,18,15,137.1,61,32,28,1,9,,.984
,Quad Cities River Bandits,MID,A,3B,30,30,255.2,83,32,48,3,7,,.964
,Quad Cities River Bandits,MID,A,SS,3,2,22.0,6,2,3,1,3,,.833
,Quad Cities River Bandits,MID,A,LF,1,1,8.0,4,2,2,0,1,,1.000
,Quad Cities River Bandits,MID,A,DH,2,2,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,1B,32,30,272.0,247,221,24,2,26,,.992
,3 Teams,,Minors,2B,70,66,593.0,286,137,143,6,43,,.979
,3 Teams,,Minors,3B,49,49,422.2,146,50,85,11,10,,.925
,3 Teams,,Minors,SS,13,12,99.0,37,15,21,1,9,,.973
,3 Teams,,Minors,LF,41,40,354.2,64,57,6,1,2,,.984
,1 Teams,,Minors,RF,10,10,88.0,20,18,2,0,1,,1.000
Career Minors,3 Teams,,,DH,16,16,0.0,0,0,0,0,0,,.000
